codigo_producto,descripcion_art,bodega,segmento,linea_comercial,categoria,criterio_faltante
74413,FOND CAVE G.RVA BLEND 6X750,Trapiche,Super Premium,Fond de Cave Gran Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
54011,GRAN MASCOTA MALBEC,Mascota Vineyards,Super Premium,Gran Mascota,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
54015,GRAN MASCOTA CAB SAUV 6X750,Mascota Vineyards,Super Premium,Gran Mascota,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44288,El Esteco Malbec 6x750,El Esteco,Super Premium,El Esteco,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44289,El Esteco Cabernet Sauvignon 6x750,El Esteco,Super Premium,El Esteco,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44354,EL ESTECO BLANC DE BLANCS 4X750,El Esteco,Super Premium,El Esteco,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44355,EL ESTECO BLANC DE NOIR 4X750,El Esteco,Super Premium,El Esteco,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44357,EL ESTECO TARDÍO TORRONTÉS 6X500,El Esteco,Super Premium,El Esteco,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80034,ALEGORIA CAB SAUV 09 6X750,Navarro Correas,Super Premium,Alegoria,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80036,ALEGORIA CHARDY 6X750,Navarro Correas,Super Premium,Alegoria,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80037,ALEGORIA MALBEC 6X750,Navarro Correas,Super Premium,Alegoria,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44320,E.E. OLD VINES MALBEC 6X750,El Esteco,Super Premium,El Esteco Old Vines,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44321,E.E. OLD VINES CAB.SAUV. 6X750,El Esteco,Super Premium,El Esteco Old Vines,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44322,E.E. OLD VINES CRIOLLA 6X750,El Esteco,Super Premium,El Esteco Old Vines,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44323,E.E. OLD VINES TORRONTES 6X750,El Esteco,Super Premium,El Esteco Old Vines,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74025,MORA NEGRA MAL-SYR 6X750,Finca Las Moras,Ultra Premium,Mora Negra,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
41080,F.NOTAB CAB.SAUV 6X750,El Esteco,Ultra Premium,Fincas Notables,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
41082,F.NOTAB MALBEC 6X750,El Esteco,Ultra Premium,Fincas Notables,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
41084,F.NOTAB TANNAT 6X750,El Esteco,Ultra Premium,Fincas Notables,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44307,F.NOTAB CABERNET FRANC 6X750,El Esteco,Ultra Premium,Fincas Notables,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44358,FINCAS NOTABLES MERLOT 6X750,El Esteco,Ultra Premium,Fincas Notables,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
54022,UNANIME TINTO 6X750 15,Mascota Vineyards,Ultra Premium,Unánime,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
54040,UNANIME MALBEC 6X750,Mascota Vineyards,Ultra Premium,Unánime,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74054,GRAN MEDALLA MALBEC 6X750,Trapiche,Ultra Premium,Gran Medalla,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
