Codigo,Categoria,Segmento,Linea Comercial,Lts x caja,UxC
30031,Spirits,Importados,Cardhu,4.199999999999999,6
30087,Spirits,Importados,Singleton,4.199999999999999,6
30088,Spirits,Importados,Singleton,4.199999999999999,6
30089,Spirits,Importados,Singleton,4.199999999999999,6
30032,Spirits,Importados,Talisker,4.5,6
30033,Spirits,Importados,Caol Ila,4.5,6
30043,Spirits,Importados,Glen Elgin,4.5,6
30049,Spirits,Importados,Clynelish,4.5,6
30052,Spirits,Importados,Cragganmore,4.5,6
30058,Spirits,Importados,Bulleit,4.199999999999999,6
30136,Spirits,Importados,Bulleit,9.0,12
60001,Cerveza Artesanal,Cerveza Artesanal,Antares Clasicas,2.838,6
60019,Cerveza Artesanal,Cerveza Artesanal,Antares Clasicas,2.838,6
60018,Cerveza Artesanal,Cerveza Artesanal,Cerveza Lager,2.838,6
60002,Cerveza Artesanal,Cerveza Artesanal,Antares Clasicas,2.838,6
60015,Cerveza Artesanal,Cerveza Artesanal,Antares Clasicas,2.838,6
60020,Cerveza Artesanal,Cerveza Artesanal,Antares Especiales,2.838,6
60017,Cerveza Artesanal,Cerveza Artesanal,Antares Especiales,2.838,6
60007,Cerveza Artesanal,Cerveza Artesanal,Antares Especiales,2.838,6
60008,Cerveza Artesanal,Cerveza Artesanal,Antares Especiales,2.838,6
60021,Cerveza Artesanal,Cerveza Artesanal,Cerveza Lager,1.98,6
74884,RTD,RTD,Dada Tinto de Verano,8.52,24
60022,Cerveza Artesanal,Cerveza Artesanal,Cerveza Lager,3.96,6
20305,Vinos del año,Medio,Etiqueta Marron Suter,4.5,6
90105,Vermouth,Vermouth,Cinzano,12.0,12
90106,Vermouth,Vermouth,Cinzano,12.0,12
90110,Vermouth,Vermouth,Cinzano,4.5,6
30268,Cerveza Artesanal,Cerveza Artesanal,Antares Especiales,2.838,6
30275,Cerveza Artesanal,Cerveza Artesanal,Antares Especiales,2.838,6
30329,Cerveza Artesanal,Cerveza Artesanal,Antares Clasicas,2.838,6
30343,Cerveza Artesanal,Cerveza Artesanal,Antares Clasicas,2.838,6
14590,Vinos de Mesa,Vinos de Mesa,Termidor Brik,12.0,12
80003,Vinos del año,Medio,San Telmo,4.5,6
14554,Vinos del año,Alto,,4.5,6
80077,Espumantes,Champaña Alta y Premium,,4.5,6
